,year,month,Member type,Start date
0,2018,Jan,casual,16999
1,2018,Jan,member,151591
2,2018,Feb,casual,21833
3,2018,Feb,member,160545
4,2018,Mar,casual,54219
5,2018,Mar,member,184779
6,2018,Apr,casual,89602
7,2018,Apr,member,239305
8,2018,May,casual,102303
9,2018,May,member,271812
10,2018,Jun,casual,103015
11,2018,Jun,member,289323
12,2018,Jul,casual,111472
13,2018,Jul,member,293289
14,2018,Aug,casual,95558
15,2018,Aug,member,308308
16,2018,Sep,casual,61331
17,2018,Sep,member,264469
18,2018,Oct,casual,53624
19,2018,Oct,member,289397
20,2018,Nov,casual,23177
21,2018,Nov,member,179199
22,2018,Dec,casual,16982
23,2018,Dec,member,160552
24,2019,Jan,casual,11337
25,2019,Jan,member,139443
26,2019,Feb,casual,13093
27,2019,Feb,member,145037
28,2019,Mar,casual,37154
29,2019,Mar,member,216657
30,2019,Apr,casual,61844
31,2019,Apr,member,286148
32,2019,May,casual,51625
33,2019,May,member,286079
34,2019,Jun,casual,54765
35,2019,Jun,member,295379
36,2019,Jul,casual,54491
37,2019,Jul,member,302154
38,2019,Aug,casual,51277
39,2019,Aug,member,308767
40,2019,Sep,casual,42979
41,2019,Sep,member,317246
42,2019,Oct,casual,34504
43,2019,Oct,member,303048
44,2019,Nov,casual,17053
45,2019,Nov,member,206459
46,2019,Dec,casual,11039
47,2019,Dec,member,150839
48,2020,Jan,casual,10654
49,2020,Jan,member,186315
50,2020,Feb,casual,10662
51,2020,Feb,member,167239
52,2020,Mar,casual,16607
53,2020,Mar,member,145923
54,2020,Apr,casual,26809
55,2020,Apr,member,48662
56,2020,May,casual,75546
57,2020,May,member,73505
58,2020,Jun,casual,116310
59,2020,Jun,member,97737
60,2020,Jul,casual,117737
61,2020,Jul,member,110610
62,2020,Aug,casual,127718
63,2020,Aug,member,123885
64,2020,Sep,casual,117455
65,2020,Sep,member,132444
66,2020,Oct,casual,99616
67,2020,Oct,member,130216
68,2020,Nov,casual,73931
69,2020,Nov,member,101504
70,2020,Dec,casual,36154
71,2020,Dec,member,69675
72,2021,Jan,casual,33387
73,2021,Jan,member,66683
74,2021,Feb,casual,23811
75,2021,Feb,member,53694
76,2021,Mar,casual,73917
77,2021,Mar,member,97248
78,2021,Apr,casual,98739
79,2021,Apr,member,118024
80,2021,May,casual,114030
81,2021,May,member,140147
82,2021,Jun,casual,123764
83,2021,Jun,member,151616
84,2021,Jul,casual,148157
85,2021,Jul,member,164269
86,2021,Aug,casual,116625
87,2021,Aug,member,155369
88,2021,Sep,casual,122669
89,2021,Sep,member,186528
90,2021,Oct,casual,127703
91,2021,Oct,member,200597
92,2021,Nov,casual,68458
93,2021,Nov,member,173599
94,2021,Dec,casual,65294
95,2021,Dec,member,125553
96,2022,Jan,casual,30778
97,2022,Jan,member,78841
98,2022,Feb,casual,47249
99,2022,Feb,member,107068
100,2022,Mar,casual,103092
101,2022,Mar,member,151158
102,2022,Apr,casual,139750
103,2022,Apr,member,170685
104,2022,May,casual,147621
105,2022,May,member,185200
106,2022,Jun,casual,179112
107,2022,Jun,member,210544
108,2022,Jul,casual,187741
109,2022,Jul,member,205942
110,2022,Aug,casual,165733
111,2022,Aug,member,211924
112,2022,Sep,casual,156590
113,2022,Sep,member,229495
114,2022,Oct,casual,128412
115,2022,Oct,member,204897
116,2022,Nov,casual,91386
117,2022,Nov,member,168331
118,2022,Dec,casual,54213
119,2022,Dec,member,121020
